bs_code,name,target_date,buy_date,entry_px,exit_date,exit_px,exit_reason,ret,pnl,ret_sum_by_stock
sh.600877,电科芯片,2025-11-28,2025-11-28,16.5,2026-01-12,20.49,hold_30d_close,0.24121818181818172,0.24121818181818172,0.25428724656638313
sh.600879,航天电子,2025-08-05,2025-08-05,11.29,2025-09-15,10.53,hold_30d_close,-0.06791620903454383,-0.06791620903454383,-0.06791620903454383
sh.600881,亚泰集团,2025-08-19,2025-08-19,2.23,2025-09-29,1.94,hold_30d_close,-0.13064484304932739,-0.13064484304932739,-0.13064484304932739
sh.600893,航发动力,2026-01-20,2026-01-20,45.98,2026-02-13,57.17,hold_30d_close,0.24276668116572425,0.24276668116572425,0.24276668116572425
sh.600897,厦门空港,2025-10-29,2025-10-29,18.1,2025-12-09,20.81,hold_30d_close,0.1491237569060772,0.1491237569060772,0.1491237569060772
sh.600903,贵州燃气,2025-04-11,2025-04-11,7.39800642,2025-05-27,6.91011636,hold_30d_close,-0.06654885598923284,-0.06654885598923284,-0.06654885598923284
sh.600909,华安证券,2026-01-07,2026-01-07,7.52,2026-02-13,6.38,hold_30d_close,-0.152195744680851,-0.152195744680851,-0.152195744680851
sh.600927,永安期货,2025-06-10,2025-06-10,16.18659108,2025-07-21,15.977696,hold_30d_close,-0.01350544000077376,-0.01350544000077376,-0.01350544000077376
sh.600962,国投中鲁,2026-01-12,2026-01-12,22.99,2026-02-13,21.82,hold_30d_close,-0.051491692040017314,-0.051491692040017314,-0.051491692040017314
sh.600965,福成股份,2026-01-13,2026-01-13,6.7,2026-02-13,5.77,hold_30d_close,-0.13940597014925377,-0.13940597014925377,-0.13940597014925377
sh.600980,北矿科技,2025-06-10,2025-06-10,20.64651908,2025-07-21,23.45196969,hold_30d_close,0.13528007736943887,0.13528007736943887,0.13528007736943887
sh.600983,惠而浦,2025-07-08,2025-07-08,11.62,2025-08-18,11.45,hold_30d_close,-0.015229948364888068,-0.015229948364888068,-0.015229948364888068
sh.600984,建设机械,2025-10-22,2025-10-22,4.44,2025-12-02,4.36,hold_30d_close,-0.018618018018018056,-0.018618018018018056,-0.17947442827442817
