mode,hold_n,tp,sl,trail,n,total_ret,avg_ret,median_ret,win_rate,p95,p05,max_ret,min_ret
fixed,30,0.85,0.2,,101,1.2648851040599327,0.012523614891682503,-0.033822591362126134,0.37623762376237624,0.3134655105973027,-0.17872500000000008,0.8494,-0.20059999999999995
trail,25,0.7,,0.25,101,1.2557520260915411,0.012433188377143972,-0.02162102102102099,0.39603960396039606,0.2551803468208093,-0.14940952380952383,0.6993999999999999,-0.2506
fixed,30,3.0,0.15,,101,1.222382539299954,0.012102797418811427,-0.03945480572597122,0.36633663366336633,0.3134655105973027,-0.1506,1.6345931330472103,-0.15060000000000012
trail,25,0.6,,0.25,101,1.1999716792707336,0.011880907715551817,-0.02162102102102099,0.39603960396039606,0.40928372093023263,-0.14940952380952383,0.5994000000000003,-0.2506
trail,5,0.3,,0.03,101,1.1866693734967646,0.011749201717789749,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29940000000000005,-0.030600000000000138
trail,8,0.3,,0.03,101,1.1866693734967646,0.011749201717789749,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29940000000000005,-0.030600000000000138
trail,10,0.3,,0.03,101,1.1866693734967646,0.011749201717789749,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29940000000000005,-0.030600000000000138
trail,15,0.3,,0.03,101,1.1866693734967646,0.011749201717789749,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29940000000000005,-0.030600000000000138
trail,20,0.3,,0.03,101,1.1866693734967646,0.011749201717789749,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29940000000000005,-0.030600000000000138
trail,25,0.3,,0.03,101,1.1866693734967646,0.011749201717789749,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29940000000000005,-0.030600000000000138
trail,30,0.3,,0.03,101,1.1866693734967646,0.011749201717789749,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29940000000000005,-0.030600000000000138
trail,25,0.75,,0.25,101,1.1705534701348634,0.011589638318166964,-0.02162102102102099,0.39603960396039606,0.2551803468208093,-0.14940952380952383,0.7494000000000002,-0.2506
trail,5,0.35,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,5,0.4,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,5,0.45,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,5,0.5,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,5,0.55,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,5,0.6,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,5,0.65,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,5,0.7,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,5,0.75,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,5,0.8,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,5,0.85,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,5,0.9,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,5,3.0,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,8,0.35,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,8,0.4,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,8,0.45,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,8,0.5,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,8,0.55,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,8,0.6,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,8,0.65,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,8,0.7,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,8,0.75,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,8,0.8,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,8,0.85,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,8,0.9,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,8,3.0,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,10,0.35,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,10,0.4,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,10,0.45,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,10,0.5,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,10,0.55,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,10,0.6,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,10,0.65,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,10,0.7,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,10,0.75,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,10,0.8,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
trail,10,0.85,,0.03,101,1.1512212602892173,0.011398230299893241,-0.004989438943894319,0.39603960396039606,0.09955349194167311,-0.030600000000000026,0.29044559748427673,-0.030600000000000138
